time_min,t_target_c,t_c,t_sec_c,log_leak_mbar_l_s,heater_v,time_h
0.1517,17.0,17.0,21.730825,-11.305877,0.0,0.0025283333333333334
0.260124,20.0,20.0,21.786728,-11.305047,0.0,0.0043354000000000005
0.351831,20.0,20.0,21.789097,-11.305526,0.0,0.00586385
0.443459,20.0,20.0,21.725613,-11.305622,0.0,0.007390983333333333
0.535199,20.0,20.0,21.758777,-11.305398,0.0,0.008919983333333333
0.626604,20.0,20.0,21.835049,-11.305462,0.0,0.0104434
0.717992,20.0,20.0,21.811836,-11.305845,0.0,0.011966533333333333
0.809715,20.0,20.0,21.792413,-11.30543,0.0,0.013495249999999999
0.901353,20.0,20.0,21.790044,-11.30543,0.0,0.015022549999999999
0.992734,20.0,20.0,21.816574,-11.305653,0.0,0.016545566666666667
1.084107,20.0,20.0,21.816574,-11.30492,0.0,0.01806845
1.176074,20.0,20.0,21.818942,-11.30559,0.0,0.019601233333333336
1.267487,20.0,20.0,21.828417,-11.305717,0.0,0.021124783333333334
1.359056,20.0,20.0,21.84405,-11.30543,0.0,0.022650933333333335
1.450761,20.0,20.0,21.857788,-11.310184,0.0,0.02417935
1.542754,20.0,20.0,21.835049,-11.305813,0.0,0.025712566666666666
1.63431,20.0,20.0,21.829365,-11.307951,0.0,0.0272385
1.725797,20.0,20.0,21.820364,-11.305398,0.0,0.028763283333333334
1.817405,20.0,20.0,21.836471,-11.307344,0.0,0.030290083333333332
1.909043,20.0,20.0,21.853998,-11.305239,0.0,0.03181738333333333
2.000748,20.003741,20.003741,21.841681,-11.302942,0.0,0.0333458
2.092685,20.463425,20.463425,21.84784,-11.305685,0.0,0.03487808333333333
2.184571,20.922856,20.922856,21.794782,-11.306738,0.0,0.03640951666666667
2.276326,21.381628,21.381628,21.824627,-11.30476,0.0,0.037938766666666665
2.368525,21.842624,21.842624,21.836944,-11.306993,0.039861,0.039475416666666666
2.461126,22.305629,22.305629,21.838365,-11.305685,0.092751,0.04101876666666667
2.553582,22.767908,22.767908,21.828891,-11.305462,0.14826,0.0425597
2.646137,23.230687,23.230687,21.832207,-11.305813,0.200855,0.04410228333333333
2.73852,23.692601,23.692601,21.808994,-11.30559,0.256377,0.045641999999999995
2.830979,24.154895,24.154895,21.809468,-11.306292,0.313292,0.04718298333333334
2.923683,24.618417,24.618417,21.837892,-11.305781,0.364567,0.04872805
3.016128,25.08064,25.08064,21.821311,-11.305909,0.416558,0.0502688
3.108618,25.54309,25.54309,21.858735,-11.306547,0.468467,0.0518103
3.20104,26.005198,26.005198,21.820837,-11.305845,0.525793,0.053350666666666664
3.293766,26.468829,26.468829,21.813258,-11.305271,0.582267,0.0548961
3.386399,26.931997,26.931997,21.823206,-11.301793,0.634798,0.05643998333333333
