Baseline 100%T,,IRRAD BUDAPEST J4 0.4dpa POST VDG,,
Wavelength (nm),%T,Wavelength (nm),%T,
3300,99.60115814,3300,87.94037628,
3299,99.8441391,3298.333008,87.91001129,
3298,99.76422882,3296.666016,87.92621613,
3297,99.72786713,3294.999023,87.97380829,
3296,99.55561829,3293.332031,88.04118347,
3295,99.71013641,3291.665039,87.89234924,
3294,99.74339294,3289.998047,88.1332016,
3293,99.77628326,3288.331055,87.98084259,
3292,99.55675507,3286.664063,88.0042038,
3291,99.57590485,3284.99707,88.01070404,
3290,99.6493454,3283.330078,87.95585632,
3289,99.66768646,3281.663086,87.9510498,
3288,99.75102997,3279.996094,87.97581482,
3287,99.67041779,3278.329102,87.82643127,
3286,99.78928375,3276.662109,87.93829346,
3285,99.77783203,3274.995117,87.74617767,
3284,99.85250092,3273.327881,87.78633881,
3283,99.69832611,3271.660889,87.8999939,
3282,99.82913971,3269.993896,88.05809784,
3281,99.7713089,3268.326904,87.95359039,
3280,99.73350525,3266.659912,87.91007996,
3279,99.7300415,3264.99292,87.97317505,
3278,99.83447266,3263.325928,87.95394135,
3277,99.88819122,3261.658936,87.86886597,
3276,99.94841003,3259.991943,87.88699341,
3275,99.94968414,3258.324951,87.95361328,
3274,99.86323547,3256.657959,87.90853882,
3273,99.88243103,3254.990967,87.85697937,
3272,99.97610474,3253.323975,87.80776978,
3271,99.86183929,3251.656982,87.94570923,
3270,99.74851227,3249.98999,87.96006775,
3269,99.99222565,3248.322998,87.78953552,
3268,99.83660126,3246.656006,87.94085693,
3267,99.96125031,3244.989014,88.01580048,
3266,99.7752533,3243.322021,87.98193359,
3265,99.75386047,3241.655029,87.9013443,
3264,99.94229126,3239.988037,87.80349731,
3263,99.83760834,3238.321045,88.01609039,
3262,99.81395721,3236.654053,87.89971161,
3261,99.8791275,3234.987061,88.05394745,
3260,99.87709045,3233.320068,87.86577606,
3259,99.83322906,3231.653076,87.94625854,
3258,99.85022736,3229.986084,87.96751404,
3257,99.81274414,3228.319092,87.97077179,
3256,99.78114319,3226.6521,87.87227631,
3255,99.95832825,3224.985107,87.99208069,
3254,100.0351639,3223.318115,87.8651886,
3253,99.87453461,3221.650879,87.88491058,
3252,99.76992798,3219.983887,87.88743591,
3251,99.82550049,3218.316895,87.86930084,
3250,99.84552002,3216.649902,88.02852631,
3249,99.96039581,3214.98291,87.89320374,
3248,99.85412598,3213.315918,87.91663361,
3247,99.82879639,3211.648926,87.93216705,
3246,99.84304047,3209.981934,87.90952301,
3245,99.84024048,3208.314941,87.84516144,
3244,99.77398682,3206.647949,87.98095703,
3243,99.83618927,3204.980957,87.86886597,
3242,99.91702271,3203.313965,87.87128448,
